rang;titre;réalisateur;année;entrées;pays
64;"Les Bidasses en folie";"Claude Zidi";1971;7460911;"France"
65;"La Famille Bélier";"Éric Lartigau";2014;7449207;"France"
66;"Le Retour de don Camillo";"Julien Duvivier";1953;7425550;"France, Italie"
67;"La Vérité si je mens ! 2";"Thomas Gilou";2001;7404014;"France"
68;"Aladdin";"R.Clements / J.Musker";1993;7308092;"États-Unis"
69;"Les Aventures de Rabbi Jacob";"Gérard Oury";1973;7295727;"France, Italie"
70;"Danse avec les loups";"Kevin Costner";1991;7280823;"États-Unis, Royaume-Uni"
71;"Le Seigneur des anneaux : Le Retour du roi";"Peter Jackson";2003;7256353;"États-Unis, Nouvelle-Zélande"
72;"Star Wars, épisode III : La Revanche des Sith";"George Lucas"; 2005;7230417;"États-Unis"
74;"Jean de Florette";"Claude Berri";1986;7223657;"France, Suisse, Italie"
75;"Shrek 2";"Andrew Adamson";2004;7120257;"États-Unis"
76;"Jeanne d'Arc";"Victor Fleming";1949;7092574;"États-Unis"
77;"Le Seigneur des anneaux : Les Deux Tours";"Peter Jackson";2002;7069149;"États-Unis, Nouvelle-Zélande"
79;"Harry Potter et le Prisonnier d'Azkaban";"Alfonso Cuarón";2004;7060057;"États-Unis, Royaume-Uni"
80;"Monsieur Vincent";"Maurice Cloche";1947;7055290;"France"
81;"Les Sept Mercenaires";"John Sturges";1961;7047964;"États-Unis"
82;"Skyfall";"Sam Mendes";2012;6989740;"États-Unis, Royaume-Uni"
84;"Les Grandes Vacances";"Jean Girault";1967;6986777;"France, Italie"
87;"Le Seigneur des anneaux : La Communauté de l'anneau";"Peter Jackson";2001;6827834;"États-Unis, Nouvelle-Zélande"
88;"Astérix aux Jeux olympiques";"T.Langmann / F.Forestier";2008;6803760;"France, Allemagne, Italie, Espagne"
90;"Mission spéciale";"Maurice de Canonge";1946;6781120;"France"
91;"Fanfan la Tulipe";"Christian-Jaque";1952;6733287;"France"
93;"Goldfinger";"Guy Hamilton";1965;6675099;"Royaume-Uni"
95;"Les Trois Frères";"D. Bourdon / B. Campan";1995;6667549;"France"
96;"Nous irons à Paris";"Jean Boyer";1950;6658693;"France"
97;"Manon des sources";"Claude Berri";1986;6645177;"France, Italie, Suisse"
99;"Le Cercle des poètes disparus";"Peter Weir";1990;6598785;"États-Unis"
100;"L'Âge de glace 4 : La Dérive des continents";"Steve Martino, Mike Thurmeier";2012;6588883;"États-Unis"
