rang;titre;réalisateur;année;entrées;pays
81;"Les Sept Mercenaires";"John Sturges";1961;7047964;"États-Unis"
85;"Avengers : Endgame";"Anthony et Joe Russo";2019;6934920;"États-Unis"
86;"Le gendarme se marie";"Jean Girault";1968;6828626;"France, Italie"
87;"Le Seigneur des anneaux : La Communauté de l'anneau";"Peter Jackson";2001;6827834;"États-Unis, Nouvelle-Zélande"
88;"Astérix aux Jeux olympiques";"T.Langmann / F.Forestier";2008;6803760;"France, Allemagne, Italie, Espagne"
89;"Le Bossu de Notre-Dame";"Gary Trousdale";1996;6803327;"États-Unis"
90;"Mission spéciale";"Maurice de Canonge";1946;6781120;"France"
92;"Rox et Rouky";"Richard Rich, Ted Berman, Art Stevens";1981;6694661;"États-Unis"
93;"Goldfinger";"Guy Hamilton";1965;6675099;"Royaume-Uni"
94;"Qu'est-ce qu'on a encore fait au Bon Dieu ?";"Philippe de Chauveron";2019;6668597;"France"
95;"Les Trois Frères";"D. Bourdon / B. Campan";1995;6667549;"France"
96;"Nous irons à Paris";"Jean Boyer";1950;6658693;"France"
97;"Manon des sources";"Claude Berri";1986;6645177;"France, Italie, Suisse"
98;"L'Age de Glace 2";"Carlos Saldanha";2006;6626958;"États-Unis"
100;"L'Âge de glace 4 : La Dérive des continents";"Steve Martino, Mike Thurmeier";2012;6588883;"États-Unis"
